date,keyword,source,ratio
2026-06-08,건강 검진,related_top(건강),
2026-06-08,국민 건강,related_top(건강),
2026-06-08,국민 건강 보험,related_top(건강),
2026-06-08,정신 건강 의학과,related_top(건강),
2026-06-08,건강 보험 공단,related_top(건강),
2026-06-08,국민 건강 보험 공단,related_top(건강),
2026-06-08,건강 검진 예약,related_top(건강),
2026-06-08,건강 기능 식품,related_top(건강),
2026-06-08,건강 보험 심사 평가원,related_top(건강),
2026-06-08,건강 검진 결과,related_top(건강),
2026-06-08,건강검진,naver,15.57773
2026-06-08,다이어트,naver,13.59028
2026-06-08,운동·헬스,naver,18.11233
2026-06-08,영양·건강기능식품,naver,42.15481
2026-06-08,정신건강,naver,10.56485
