collected_date,keyword_group,period,ratio
2026-08-14,건강검진,2026-07-16,25.59975
2026-08-14,건강검진,2026-07-17,17.2177
2026-08-14,건강검진,2026-07-18,17.08831
2026-08-14,건강검진,2026-07-19,17.46887
2026-08-14,건강검진,2026-07-20,30.07131
2026-08-14,건강검진,2026-07-21,28.14503
2026-08-14,건강검진,2026-07-22,26.93385
2026-08-14,건강검진,2026-07-23,27.43685
2026-08-14,건강검진,2026-07-24,27.51595
2026-08-14,건강검진,2026-07-25,20.01906
2026-08-14,건강검진,2026-07-26,19.63953
2026-08-14,건강검진,2026-07-27,30.3476
2026-08-14,건강검진,2026-07-28,29.68529
2026-08-14,건강검진,2026-07-29,30.229
2026-08-14,건강검진,2026-07-30,29.58414
2026-08-14,건강검진,2026-07-31,28.78543
2026-08-14,건강검진,2026-08-01,19.8115
2026-08-14,건강검진,2026-08-02,18.99407
2026-08-14,건강검진,2026-08-03,31.51263
2026-08-14,건강검진,2026-08-04,29.9875
2026-08-14,건강검진,2026-08-05,29.13916
2026-08-14,건강검진,2026-08-06,29.38808
2026-08-14,건강검진,2026-08-07,27.33195
2026-08-14,건강검진,2026-08-08,19.41416
2026-08-14,건강검진,2026-08-09,17.26037
2026-08-14,건강검진,2026-08-10,29.06028
2026-08-14,건강검진,2026-08-11,26.83289
2026-08-14,건강검진,2026-08-12,27.07996
2026-08-14,건강검진,2026-08-13,29.01633
2026-08-14,다이어트,2026-07-16,10.5259
2026-08-14,다이어트,2026-07-17,11.20377
2026-08-14,다이어트,2026-07-18,11.34205
2026-08-14,다이어트,2026-07-19,13.35335
2026-08-14,다이어트,2026-07-20,10.20629
2026-08-14,다이어트,2026-07-21,10.54418
2026-08-14,다이어트,2026-07-22,11.14297
2026-08-14,다이어트,2026-07-23,11.00357
2026-08-14,다이어트,2026-07-24,11.70139
2026-08-14,다이어트,2026-07-25,12.08194
2026-08-14,다이어트,2026-07-26,12.09269
2026-08-14,다이어트,2026-07-27,10.40234
2026-08-14,다이어트,2026-07-28,10.7487
2026-08-14,다이어트,2026-07-29,10.4507
2026-08-14,다이어트,2026-07-30,10.35223
2026-08-14,다이어트,2026-07-31,10.33198
2026-08-14,다이어트,2026-08-01,12.09063
2026-08-14,다이어트,2026-08-02,12.45019
2026-08-14,다이어트,2026-08-03,9.95401
2026-08-14,다이어트,2026-08-04,10.25472
2026-08-14,다이어트,2026-08-05,10.35296
2026-08-14,다이어트,2026-08-06,10.01978
2026-08-14,다이어트,2026-08-07,10.38553
2026-08-14,다이어트,2026-08-08,11.43966
2026-08-14,다이어트,2026-08-09,11.72775
2026-08-14,다이어트,2026-08-10,9.91959
2026-08-14,다이어트,2026-08-11,9.53398
2026-08-14,다이어트,2026-08-12,9.52351
2026-08-14,다이어트,2026-08-13,9.73385
2026-08-14,운동·헬스,2026-07-16,14.87849
2026-08-14,운동·헬스,2026-07-17,20.43559
2026-08-14,운동·헬스,2026-07-18,18.63068
2026-08-14,운동·헬스,2026-07-19,18.35203
2026-08-14,운동·헬스,2026-07-20,15.01974
2026-08-14,운동·헬스,2026-07-21,14.45896
2026-08-14,운동·헬스,2026-07-22,14.69725
2026-08-14,운동·헬스,2026-07-23,14.41516
2026-08-14,운동·헬스,2026-07-24,14.57677
2026-08-14,운동·헬스,2026-07-25,17.73226
2026-08-14,운동·헬스,2026-07-26,18.19231
2026-08-14,운동·헬스,2026-07-27,15.13242
2026-08-14,운동·헬스,2026-07-28,14.22603
2026-08-14,운동·헬스,2026-07-29,14.00963
2026-08-14,운동·헬스,2026-07-30,14.08169
2026-08-14,운동·헬스,2026-07-31,14.59919
2026-08-14,운동·헬스,2026-08-01,17.09825
2026-08-14,운동·헬스,2026-08-02,18.94979
2026-08-14,운동·헬스,2026-08-03,14.54671
2026-08-14,운동·헬스,2026-08-04,13.88139
2026-08-14,운동·헬스,2026-08-05,14.10481
