date,keyword,rank,title,source,published,url
2026-09-17,건강 검진,1,미연 건강검진 영상 의료법 위반 의혹 - 동아일보,동아일보,"Wed, 16 Sep 2026 23:52:56 GMT",https://news.google.com/rss/articles/CBMidkFVX3lxTE1YR2hmUE52UU4tU2tmenFycXlUNnltOUNjZkFLdXctRy14SnE3bzYzaUZQclNEdzBZV2lWcXhoOGlmbmtQdl8wZXRneUZvR1pjQWktOWRSRTIwMTlEWVB6TGhSU0tuWVZnbEN3Z0FUSzdZdk5MMFHSAWZBVV95cUxOM0haRFBzMFkzT1JpcVJsNG01czJaQ0luVUllcjMteHNHZkZXeTFjd1hsU0pGTkV1eDZ0X1FlOU5yS3JweVRDM191bVc4aE84dlNlaEZob2owMzJzdUNOR2ZLeXNLd3c?oc=5
2026-09-17,건강 검진,2,"“협찬 NO” 해명했지만…미연 건강검진 콘텐츠, 결국 경찰로 - 스타투데이 - 매일경제",매일경제,"Wed, 16 Sep 2026 06:35:09 GMT",https://news.google.com/rss/articles/CBMiWEFVX3lxTE9lWXgzdWJ4SElOdWQ5ZmNJbmFxWG9BWjZSWUNidjluQ2M2Y25XcUthTVVqcmpwcDNhM2I5azN5Y3BoTXI5NnhrbWUtV05tSFBxMWFmQkh3TVo?oc=5
2026-09-17,건강 검진,3,"“판단하기 힘든 상황”… 미연 건강검진 영상, 결국 경찰 수사대 올랐다 - 위키트리",위키트리,"Thu, 17 Sep 2026 03:18:00 GMT",https://news.google.com/rss/articles/CBMiVkFVX3lxTE1KTnJlNWpYcGRZdnRzTWZSUnFkSURpOUp6NFU2cFl4QVhzVW5seU94Y0tiMFJFcVNMSWZGcUFkN1J3MEpkbzhDY1NNRjlWYlVwbkNSZU13?oc=5
2026-09-17,건강 검진,4,"쿠팡, 화천서 찾아가는 건강검진…지역주민 등 600명 참여 - 전자신문",전자신문,"Thu, 17 Sep 2026 01:24:02 GMT",https://news.google.com/rss/articles/CBMiTkFVX3lxTFBLdVBkZUpMUHQyXzFvdWFZN0Q2TFY3bmdaWVBmYnl3TzFUaGJzOHZ6NVZRelU0SU82eGlBQUpmMi05RHdUTW1kN1RpeGN2Zw?oc=5
2026-09-17,건강 검진,5,"쿠팡, 강원 화천서 지역주민 등 600여명 건강검진 지원 - 에너지경제신문",에너지경제신문,"Thu, 17 Sep 2026 01:06:20 GMT",https://news.google.com/rss/articles/CBMiW0FVX3lxTE5PYWo5bmpsXzFGc19ySUpuQlMyY1R6bkNIRllMTTdlc1dCMDNzS1Q1Ym91MXRzaGQtdE4wVnpmdVhKWElCR3pjaUtISC1HNTkyVnRmQ3BTQlJEVFU?oc=5
2026-09-17,건강 검진,6,"쿠팡, 화천 주민 600여 명 건강검진 지원…""온동네 케어"" - 뉴스1",뉴스1,"Thu, 17 Sep 2026 01:14:32 GMT",https://news.google.com/rss/articles/CBMiX0FVX3lxTFB0Unk1aklBSWF4Nzlwd1lWN3FXZFd6WDYwdXoxNXJ6c1VmWTdseHhRd3V0UWJYWWlMdWcwRm9ac1A2cmcxaXl5VVhaUkZ1MkdwYzNGYWl0MmROWkNSQTN30gFkQVVfeXFMTUxkb3UtLUFlZkNsb2lIUzJ0ZnY3LWJpUkZreHFZdDlnaHNjXzR0QjdKZUkwNjZfbXVYcUJib04zS0NLVENrbDN2SlhaM3p0bmY0UW5paDVHajJWSnVBNUFXRVpxVw?oc=5
2026-09-17,건강 검진,7,"고성군, 신혼(예비) 부부 건강검진 지원 - 브릿지경제",브릿지경제,"Wed, 16 Sep 2026 01:32:00 GMT",https://news.google.com/rss/articles/CBMiWkFVX3lxTE1xLUNsTVM0NEFZVnByMElUd0taUHVKZ2x6azh4OWdLQkV6RWVsMDdVYzltU2Z0RkpZQ2diOHo3cnR5RFp2MkRIS0o2U1U3ei00UXBNRVI4bWx0Zw?oc=5
2026-09-17,건강 검진,8,"장우영, 키 175cm 나오자 발끈…건강검진까지 공개 “나 178이야” - v.daum.net",v.daum.net,"Wed, 16 Sep 2026 20:01:50 GMT",https://news.google.com/rss/articles/CBMiRkFVX3lxTE1xMTZhLWk1VkR6bkQwVG9aalNLb1Ixd0xfUTQ0cmxSUDdEa2dpcG1ZUHJKeUtHTl9zYzBGNGdHUUVPWjBicXc?oc=5
2026-09-17,건강 검진,9,"""바쁜 추수철, 동네서 건강검진받으니 편해요""...울진군, '농촌 왕진버스' 호평 - 뉴스핌",뉴스핌,"Wed, 16 Sep 2026 05:03:00 GMT",https://news.google.com/rss/articles/CBMiXEFVX3lxTFA4b2NoTDB0ZHU3UGpvQ3dXVWMzUVN2NzJXbzNWbV84eDVaS2Nka2lKekZLaksycWRNNExZVU1pckNqQzNGUHZLMkF2R25RWllqcUFPeUc1UXNwc0dB?oc=5
2026-09-17,건강 검진,10,"건강관리협 대전충남지부, 대전소년원 사회공헌 건강검진 실시 - 중도일보",중도일보,"Wed, 16 Sep 2026 07:55:12 GMT",https://news.google.com/rss/articles/CBMiZEFVX3lxTFBzSkQ4Vzd1aF9VaE1rYVlmWHJmUEJyYVRGY3pGaWY0NnVycDZ0cXh2a1dLdWZPQ3AwZ09SYjdnQ1F1WGtCQVZ1c2VzYjI5MEw4Z1JEOElrNFBlc3FDZ3l4Z1VITHo?oc=5
2026-09-17,건강 보험,1,"[김길원의 헬스노트] 신약 나왔는데 건보까지 23개월…국민 ""8.5개월이면 적당"" - v.daum.net",v.daum.net,"Wed, 16 Sep 2026 21:14:38 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE9uU1locUJxQWtlZGVJLXNBSHNFVUFkYVVGSGJSemlvU0V0QW5BdkZSZDdULURudG45bFFQY0xNYlh4TnhNZEJEdGxzTGVlVWM?oc=5
2026-09-17,건강 보험,2,“온기 나누고 안전 더하고” 국민건강보험공단 부산사상지사의 추석나눔 - 부산일보,부산일보,"Wed, 16 Sep 2026 01:18:16 GMT",https://news.google.com/rss/articles/CBMifEFVX3lxTE94S2NfVnJCT19QYVV1VnVjTGQ3QzVlTHg4WkRYa1oyMFZ0bThLajB5M0Zab0U3bUJuQ1psRXNsb0R6UWdncWJ1ZE0yeFA2MlZiZ1YyM01uY3kxTVgxWTY5UlRmdVYtNzB4RXZPRTFlU1dpZmVpbGNVZWVMbmM?oc=5
2026-09-17,건강 보험,3,"건보공단, 재가 생애말기 ‘임종돌봄 안내서’ 배포 - 주간한국",주간한국,"Thu, 17 Sep 2026 02:04:50 GMT",https://news.google.com/rss/articles/CBMicEFVX3lxTE5lUlpBMVA0ZW1ucnhvSmFVZm4yX0c2c1dqazVOWC1LWjV5UDFhUlJNZnlFZWNUVy1LSnF4dmcwX21Cd09ZYXpOYlhpUGgwLUtsd3ZZaWRKdWEzYkVrRFdrTThQeUpaV1oxbmVPa3Z3RDHSAXRBVV95cUxORS1nRG9TMk1wdGpDQ3l6OG00UVBFMFVUVkZhcjBHS3NFa3hHM3NGLUxwNEdaQldZajVTTnJEUUhNanBkdE1uMjMwaXhiZTlOb3EyaUFtQTljRmxMU3VhamRGZVFZbHB0TEY1QUpPRkNWdXZNYg?oc=5
2026-09-17,건강 보험,4,"국민건강보험 동대문지사, 복지관에 온누리상품권 40만원 전달 - gukjenews.com",gukjenews.com,"Wed, 16 Sep 2026 06:51:21 GMT",https://news.google.com/rss/articles/CBMibkFVX3lxTE5yZ0ItTW0tWjRTY25ZbnhZQV9qZU1KZlBDaThreTRXS0xzUkxXaWtUNHJOdktoQ2FkQThlNkRURDlUWUVRcW5NYVBFamR0RVVvMWpYSXFGLWhWQURTeVppbVFpTm1ZVWRYREpVUFJB?oc=5
2026-09-17,건강 보험,5,"건강보험연구원, 중고령자 다차원 평가 '한국형 건강노화지수' 수치화 완료 - 폴리뉴스 Polinews",폴리뉴스 Polinews,"Wed, 16 Sep 2026 07:32:28 GMT",https://news.google.com/rss/articles/CBMibkFVX3lxTE00Y1Z2YWRtRjNaZFRocjM1a19oRW4yUkg3SkhsdHlCSEg1Y1dkUmFKQ010UTQxV0dmLTYweUNpbjZHdXR6d25NUlVodjdGQ2xGUVlRLW9waDI4TzIyTXQ3TFkzbkJOY2g3LXM5Mlpn0gFyQVVfeXFMTVZydTVpdFdnejR5Ql93dUIxRkhoNkRuSHlwZEpWQTh6OTE5Y2l3emUxTzc3bUhLQnR3dGxWSWt2dXlVdEdzOWp6cWU4SW05QUgxQ2FCMXRvZUdJbzcxV0RGZ1FlR1JwbUNNejdqTEFCUDhR?oc=5
2026-09-17,건강 보험,6,"아크릴, 우즈벡 국가건강보험기금 초청으로 ‘소버린 헬스케어 AX’ 발표 - MEDI:GATE NEWS",MEDI:GATE NEWS,"Wed, 16 Sep 2026 18:33:00 GMT",https://news.google.com/rss/articles/CBMiV0FVX3lxTE9mOGlQZXd1b2F6Y0dmbTdKSjFDQ0hjVnNFd21qRUw0d3I2c0pFLS1yM3FLQ1V0X2tLd3plX3M2R2JUYXlfbm1sQnQwTFE3U09TSll4RkRXQQ?oc=5
2026-09-17,건강 보험,7,"심평원·금감원, 보험사기·부당청구 뿌리 뽑는다 - OhmyNews",OhmyNews,"Wed, 16 Sep 2026 05:00:00 GMT",https://news.google.com/rss/articles/CBMid0FVX3lxTE9RRkhXZVhxSTlTcFFDQ1Fndk9RYlVCNHczNzNUeGhmdkRYZXkwQlprdG0zYkJEWXJpb3VBVHJDZkhyeXl6eUVrZ2hWWFNkSUVCTmU3TEpmYmg2UVpzQlJxREZPNVVVNUstMGtMaWNlQ1RycUcwaEJN?oc=5
2026-09-17,건강 보험,8,삼성생명 ‘팩건강보험 Care+’ 출시…건강관리로 최대 67만원 적립 - 인더뉴스,인더뉴스,"Wed, 16 Sep 2026 07:52:44 GMT",https://news.google.com/rss/articles/CBMiZEFVX3lxTE1PdUthaWJpNGR2WUdaaHhscGJSdzNWNnZNcXMycmktS1VEU1pzQ2Z4Wk11UnBibnJBWlVJeDBjei1vNWNKY0Y4SXY5OGZCRjVROFZWRUtCZHBkdnhLSkFGMndpbTg?oc=5
2026-09-17,건강 보험,9,“손 하나 까딱 못합니다”…요양등급 속여 보험금 1억5000만원 챙겨 - 농민신문,농민신문,"Thu, 17 Sep 2026 04:01:54 GMT",https://news.google.com/rss/articles/CBMiWkFVX3lxTE9XakQxM0RpRW0zcVFaSVUwRGhycjJQaU1wU1pyenotbG4tUEhXZ2hINF9YcWxvR0t4Q3VtaEpNcFp5aDdTV3A0ZV9CUVBYMnF5ekhaVThTcWROdw?oc=5
2026-09-17,건강 보험,10,"경기지부, 지역 내 치과 보험 정책 현안 ‘공감대’ - 치의신보",치의신보,"Wed, 16 Sep 2026 12:06:30 GMT",https://news.google.com/rss/articles/CBMiaEFVX3lxTFBaUU5HQTMtZzE2UGNVQTZQVm84YUVnMFlSV3N3SHBPTTJXSmkxOHJQRERXRlNJMExDYk9fbVVMcVZfMXNSTzhOTWU3T3ZENXh3V3I4QU96anExMmZrQ1RrQk92MnZLTDBS?oc=5
2026-09-17,정신 건강,1,"“마음도 안전하게”… 부산남구시설관리공단, 근로자 정신건강 챙긴다 - asiae.co.kr",asiae.co.kr,"Thu, 17 Sep 2026 03:06:35 GMT",https://news.google.com/rss/articles/CBMiYEFVX3lxTE1PR2RaSVBBWXpaZ2hYTzFjSGI5dDk0RUxCTm9ybDdJb3g1SDZVZXBFUC1VUmo5blhMYWVrTFhrbVp6Qk02M1RWWXJ2Y3F5WTZyTHlZMlFDaV9lMG1nTU1qcQ?oc=5
2026-09-17,정신 건강,2,"국립산림과학원, 동대문구 정신건강복지센터와 청렴 실천 및 갑질 근절 다짐 행사 개최 - 지역사회 협력 통한 산림복지 서비스와 연계...투명하고 공정한 산림행정 구현 약속 - 서울Pn",서울Pn,"Wed, 16 Sep 2026 14:01:40 GMT",https://news.google.com/rss/articles/CBMiYkFVX3lxTE1vQkVOX3diWDdaelBlOTE2Y3JuSjFZOWt0LU9sNG0tMkdrZ0psaHBRcTlEZ0ozaHB5VnFPOGhNcldHQTFwYVdtRXNWN19lNS02VGd1a3VYNGFQeldBanZfVzZn?oc=5
2026-09-17,정신 건강,3,"동명대, 정신건강·게임 이용습관 등 ‘슬기로운 동명생활’ 캠페인 운영 - 국제신문",국제신문,"Wed, 16 Sep 2026 08:48:00 GMT",https://news.google.com/rss/articles/CBMijgFBVV95cUxOYlVxX0FpUVp5TDROZ1NhWk9XSUdGR3o2SmtNdGVwR0x4ZnMwVmtxSTJ4VlNwQzB1bjUyUVlIbnUzRkxHR2lsdGp4ZzRIa0F1bXpWb3kzVDA0N3hoeWxYVmFxTUJfMi1Nemc0YjFULVk0Y2prbTZUeVBLUUlrUkViUi1xZDdfYWVxREgzSXl3?oc=5
